ID,Dataset,KGpipFLAML,VolcanoWE,Task
78,ailerons,0.89,0.88,binary
79,analcatdata_supreme,0.99,0.98,binary
80,bank32nh_833,0.79,0.79,binary
81,cpu_act_761,0.93,0.92,binary
82,cpu_small_735,0.91,0.9,binary
83,delta_ailerons,0.94,0.93,binary
84,delta_elevators,0.88,0.88,binary
85,eeg-eye-state,0.96,0.97,binary
86,electricity,0.94,0.92,binary
87,jm1,0.64,0.0,binary
88,kin8nm_807,0.87,0.9,binary
89,mammography,0.85,0.82,binary
90,mc1,0.8,0.76,binary
91,ozone-level-8hr,0.68,0.74,binary
92,page-blocks,0.94,0.62,binary
93,pollen_871,0.51,0.51,binary
94,puma32H_752,0.89,0.91,binary
95,puma8NH_816,0.83,0.83,binary
96,space_ga_737,0.83,0.87,binary
97,waveform-5000,0.88,0.87,binary
98,wind_847,0.86,0.86,binary
99,abalone,0.12,0.0,multi-class
100,optdigits,0.99,0.99,multi-class
101,pendigits,0.99,0.99,multi-class
102,satimage,0.92,0.9,multi-class
103,bank32nh_558,0.6,0.56,regression
104,bank8FM,0.96,0.96,regression
105,cpu_act_573,0.98,0.98,regression
106,cpu_small_227,0.98,0.98,regression
107,debutanizer,0.83,0.67,regression
108,kin8nm_189,0.81,0.9,regression
109,Moneyball,0.94,0.0,regression
110,pollen_529,0.8,0.81,regression
111,puma32H_308,0.94,0.95,regression
112,puma8NH_225,0.68,0.67,regression
113,rainfall_bangladesh,0.76,0.0,regression
114,socmob,0.91,0.0,regression
115,space_ga_507,0.67,0.65,regression
116,stock,0.99,0.99,regression
117,sulfur,0.89,0.84,regression
118,us_crime,0.68,0.0,regression
119,weather_izmir,0.99,0.99,regression
120,wind_503,0.81,0.79,regression
121,witmer_census_1980,0.5,0.0,regression
